End Time,Artist Name,Track Name,Milliseconds Played
2024-04-17 04:40,Bukahara,Happy,207573
2024-04-17 04:43,Zoufris Maracas,J'aime pas travailler,192040
2024-04-17 04:56,Milky Chance,Ego,165386
2024-04-17 06:47,Milky Chance,Ego,1281
2024-04-17 06:47,Don Diablo,Not Alone,2030
2024-04-17 06:49,Bakermat,Temptation,102810
2024-04-17 06:52,Hajaj,High No More,198845
2024-04-17 06:56,Bob Marley & The Wailers,Three Little Birds,6458
2024-04-17 06:56,Declan McKenna,Brazil,252306
2024-04-17 07:00,Zoufris Maracas,Koutémoué,211680
2024-04-17 07:04,Nickodemus,Mi Swing es Tropical,222920
2024-04-17 07:06,Milky Chance,Colorado,174347
2024-04-17 07:09,Parov Stelar,All Night,166613
2024-04-17 07:13,Jack Johnson,Upside Down,209546
2024-04-17 07:16,MGMT,Electric Feel,229640
2024-04-17 07:17,Calvin Harris,Outside (feat. Ellie Goulding),46082
2024-04-17 07:20,Trinix,Now or Never,182750
2024-04-17 07:24,Milky Chance,The Game,213280
2024-04-17 07:28,Parcels,Tieduprightnow,249956
2024-04-17 07:28,Lost Frequencies,Where Are You Now,11808
2024-04-17 07:47,Saco,Take Me Home,171578
2024-04-17 08:09,Kygo,Stole the Show,67765
2024-04-17 11:02,Kygo,Stole the Show,6280
2024-04-17 11:04,Anderex,I SEE THE FUTURE,149250
2024-04-17 11:07,Mutilator,OCEANS,148500
2024-04-17 11:09,Anderex,HOT SAUCE - Live Edit,148000
2024-04-17 11:11,Mutilator,DANCE WITH ME,82941
2024-04-17 11:13,Anderex,ROLLIN' LOUD,120002
2024-04-17 11:43,Riot Shift,DROP DEAD,133500
2024-04-17 11:45,Adjuzt,Devastation,27706
2024-04-17 11:45,Cryex,Falling Up - Spectrum Edit,112878
2024-04-17 11:48,Rauw Vlees,THE BASS WAS TOO LOUD,132000
2024-04-17 11:50,Rauw Vlees,Bol.Kadom,130318
2024-04-17 11:52,Klapperkebab,STREETS,150097
